id,name,now_cost,position,team,total_points,assists,penalties_saved,goals_scored,cost_change_start_fall,expected_goal_involvements,goals_conceded,creativity_rank,in_dreamteam,chance_of_playing_next_round,influence_rank,threat,news,region,selected_rank,expected_assists,clean_sheets_per_90,value_form,clean_sheets,ep_next,transfers_out_event,chance_of_playing_this_round,ict_index_rank_type,cost_change_start,points_per_game_rank_type,goals_conceded_per_90,ict_index_rank,expected_goals_conceded,saves,creativity,ep_this,ict_index,expected_goal_involvements_per_90,expected_assists_per_90,points_per_game,expected_goals_per_90,penalties_missed,selected_by_percent,transfers_in,minutes,status,transfers_in_event,expected_goals,threat_rank,now_cost_rank,yellow_cards,cost_change_event_fall,red_cards,penalties_order,bps,web_name,form_rank,transfers_out,can_select,creativity_rank_type,news_added,dreamteam_count,selected_rank_type,points_per_game_rank,influence_rank_type,starts_per_90,saves_per_90,cost_change_event,corners_and_indirect_freekicks_order,form_rank_type,influence,bonus,expected_goals_conceded_per_90,now_cost_rank_type,threat_rank_type,event_points,form,value_season,own_goals,direct_freekicks_order,starts
1,Fábio Ferreira Vieira,5.4,MID,Arsenal,0,0,0,0,1,0.0,0,682,False,0.0,683,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,,636,0.0,0.0,0.0,0,0.0,9,0.0,310,-1,310,0.0,683,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,439,0,u,0,0.0,680,138,0,0,0,,0,Fábio Vieira,674,2758,False,310,2024-08-29T11:06:25.241953Z,0,278,682,310,0.0,0.0,0,,304,0.0,0,0.0,83,308,0,0.0,0.0,0,,0
2,Gabriel Fernando de Jesus,6.8,FWD,Arsenal,9,0,0,0,2,0.99,2,227,False,100.0,378,82.0,,30.0,214,0.12,0.37,0.1,1,1.8,1596,100.0,32,-2,49,0.74,298,2.44,0,63.6,1.8,17.1,0.36,0.04,0.8,0.32,0,0.9,62485,243,a,800,0.87,171,32,4,0,0,,36,G.Jesus,303,229588,True,28,2024-08-25T11:00:05.312580Z,0,37,459,37,0.74,0.0,0,,38,26.6,0,0.9,15,33,1,0.8,1.3,0,,2
3,Gabriel dos Santos Magalhães,6.2,DEF,Arsenal,60,1,0,3,-2,2.26,13,216,True,75.0,46,215.0,Muscle injury - 75% chance of playing,30.0,13,0.5,0.33,0.6,4,3.6,147809,75.0,14,2,4,1.08,85,12.5,0,68.2,3.6,59.7,0.19,0.04,4.6,0.15,0,23.4,2875705,1088,d,30891,1.76,58,66,1,0,0,,210,Gabriel,76,1878410,True,55,2024-11-27T10:30:06.325759Z,2,5,31,14,1.08,0.0,0,,17,313.4,4,1.03,3,2,0,3.8,9.7,0,,13
4,Kai Havertz,7.9,FWD,Arsenal,59,2,0,5,1,6.91,15,112,False,100.0,73,437.0,,80.0,37,1.16,0.29,0.4,4,4.2,24251,100.0,7,-1,14,1.09,29,13.85,0,160.0,4.2,87.8,0.5,0.08,4.2,0.42,0,10.1,2155551,1243,a,20437,5.75,11,13,2,0,0,3.0,208,Havertz,88,2617721,True,9,2024-11-07T09:00:07.112803Z,1,10,37,12,1.01,0.0,0,,18,280.8,7,1.0,5,4,5,3.2,7.5,0,,14
5,Karl Hein,4.0,GKP,Arsenal,0,0,0,0,0,0.0,0,491,False,0.0,511,0.0,Loaned to Real Valladolid,,558,0.0,0.0,0.0,0,0.0,45,0.0,58,0,58,0.0,513,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,u,0,0.0,455,638,0,0,0,,0,Hein,425,3963,False,37,2024-08-14T08:31:46.556082Z,0,68,514,58,0.0,0.0,0,,51,0.0,0,0.0,63,27,0,0.0,0.0,0,,0
6,Jurriën Timber,5.6,DEF,Arsenal,47,1,0,1,-1,1.13,10,101,False,100.0,170,139.0,,152.0,67,0.46,0.35,1.0,4,6.8,9269,100.0,33,1,14,0.87,128,10.05,0,168.8,6.8,48.3,0.1,0.04,3.6,0.06,0,5.8,761453,1040,a,81739,0.67,103,104,3,0,0,,167,J.Timber,16,260304,True,21,2024-10-04T13:30:05.569185Z,1,23,70,67,1.04,0.0,0,,5,178.0,2,0.87,11,9,2,5.8,8.4,0,,12
7,Jorge Luiz Frello Filho,4.7,MID,Arsenal,9,0,0,0,3,0.33,4,272,False,,374,3.0,,106.0,336,0.29,0.25,0.3,1,2.2,517,,178,-3,165,0.99,358,2.92,0,45.6,2.2,7.6,0.08,0.07,1.3,0.01,0,0.2,22852,363,a,745,0.04,378,323,3,0,0,,54,Jorginho,230,37991,True,167,,0,111,346,175,1.24,0.0,0,,114,27.2,0,0.72,211,202,2,1.2,1.9,0,,5
8,Jakub Kiwior,4.8,DEF,Arsenal,13,0,0,0,2,0.03,5,346,False,,338,0.0,,172.0,370,0.03,0.28,0.5,1,3.5,449,,124,-2,97,1.39,376,4.45,0,13.7,3.5,6.3,0.01,0.01,1.6,0.0,0,0.2,13747,323,a,2334,0.0,639,315,0,0,0,,39,Kiwior,124,19566,True,112,,0,132,305,117,0.56,0.0,0,,29,49.2,0,1.24,38,228,2,2.5,2.7,0,,2
9,Gabriel Martinelli Silva,6.8,MID,Arsenal,50,2,0,3,2,4.04,9,92,False,100.0,134,304.0,,30.0,115,1.86,0.46,0.1,4,1.8,15755,100.0,35,-2,31,1.04,57,8.78,0,177.4,1.8,69.1,0.47,0.22,3.8,0.25,0,2.7,629385,778,a,5769,2.18,35,35,1,0,0,,159,Martinelli,304,689500,True,70,2024-10-18T16:00:06.884775Z,1,34,64,48,1.04,0.0,0,,156,210.0,4,1.02,18,20,0,0.8,7.4,0,,9
12,Ethan Nwaneri,4.5,MID,Arsenal,13,0,0,1,0,0.34,0,303,False,,335,41.0,,241.0,269,0.19,0.0,0.4,0,3.0,2272,,159,0,137,0.0,323,0.71,0,29.2,3.0,12.3,0.4,0.22,1.6,0.18,0,0.4,68910,76,a,2403,0.15,250,427,0,0,0,,49,Nwaneri,162,48398,True,178,,0,86,299,159,0.0,0.0,0,,78,52.6,0,0.84,259,140,1,2.0,2.9,0,,0
