id,name,now_cost,position,team,total_points,dreamteam_count,transfers_in_event,clean_sheets,goals_conceded_per_90,saves_per_90,influence_rank_type,points_per_game,selected_rank,corners_and_indirect_freekicks_order,event_points,mng_draw,penalties_order,web_name,team_join_date,influence_rank,bonus,mng_underdog_win,news,ict_index,expected_goals_per_90,value_form,expected_assists,transfers_out_event,expected_goals,creativity_rank_type,expected_assists_per_90,points_per_game_rank_type,form_rank_type,status,cost_change_start_fall,threat_rank,yellow_cards,bps,can_select,expected_goal_involvements_per_90,minutes,starts_per_90,penalties_saved,opta_code,saves,form,cost_change_start,threat,points_per_game_rank,cost_change_event_fall,direct_freekicks_order,penalties_missed,transfers_out,region,mng_underdog_draw,cost_change_event,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,ict_index_rank,expected_goals_conceded_per_90,mng_win,ep_this,value_season,mng_loss,clean_sheets_per_90,ep_next,news_added,goals_scored,starts,mng_clean_sheets,form_rank,assists,mng_goals_scored,expected_goals_conceded,now_cost_rank,now_cost_rank_type,red_cards,in_dreamteam,transfers_in,goals_conceded,own_goals,selected_rank_type,influence,expected_goal_involvements,threat_rank_type,creativity,creativity_rank,ict_index_rank_type
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,0,0,0.0,0.0,326,0.0,690,,0,0,,Fábio Vieira,,758,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,0.0,0.0,0.00,1,0.00,326,0.0,326,313,u,1,754,0,0,False,0.0,0,0.0,0,p438098,0,0.0,-1,0.0,758,0,,0,2808,,0,0,0.0,0.0,0.0,758,0.0,0,0.0,0.0,0,0.0,0.0,2024-08-29T11:06:25.241953Z,0,0,0,736,0,0,0.00,136,82,0,False,439,0,0,289,0.0,0.00,324,0.0,757,326
2,Gabriel Fernando de Jesus,66,FWD,Arsenal,42,2,71,2,0.75,0.0,26,2.5,186,,0,0,,G.Jesus,2022-07-04,274,6,0,Knee injury - Unknown return date,52.6,0.46,0.0,0.52,6133,3.05,25,0.08,24,76,i,4,82,4,152,True,0.54,600,0.9,0,p205651,0,0.0,-4,255.0,199,0,,0,1384619,30.0,0,0,1.3,0.0,0.0,201,0.87,0,0.0,6.4,0,0.3,0.0,2025-01-12T22:00:07.802845Z,3,6,0,763,2,0,5.82,40,19,0,False,1237502,5,0,31,154.4,3.57,26,119.5,210,26
3,Gabriel dos Santos Magalhães,63,DEF,Arsenal,94,2,55018,7,0.95,0.0,14,4.3,9,,2,0,,Gabriel,2020-09-01,46,8,0,,94.0,0.12,0.4,1.03,15534,2.56,36,0.05,4,36,a,-3,75,3,353,True,0.17,1898,1.04,0,p226597,0,2.8,3,272.0,40,1,,0,2807193,30.0,0,-1,27.8,100.0,100.0,84,0.93,0,2.8,14.9,0,0.33,3.3,2024-11-27T10:30:06.325759Z,3,22,0,136,2,0,19.52,53,3,0,True,4262520,20,0,3,496.4,3.59,3,170.8,163,13
4,Kai Havertz,78,FWD,Arsenal,96,1,44566,7,0.98,0.0,8,4.6,47,,12,0,3.0,Havertz,2023-06-28,56,14,0,,142.6,0.46,0.7,1.63,7777,9.39,10,0.08,9,5,a,2,9,4,340,True,0.54,1839,1.03,0,p219847,0,5.5,-2,701.0,27,0,,0,3279598,80.0,0,0,7.9,100.0,100.0,23,0.93,0,5.5,12.3,0,0.34,6.0,2025-01-02T08:00:08.350130Z,9,21,0,27,3,0,19.00,13,4,0,False,2572255,20,0,10,467.2,11.02,5,257.0,101,7
5,Karl Hein,40,GKP,Arsenal,0,0,0,0,0.0,0.0,64,0.0,606,,0,0,,Hein,,574,0,0,Loaned to Real Valladolid,0.0,0.0,0.0,0.00,14,0.00,46,0.0,64,57,u,0,517,0,0,False,0.0,0,0.0,0,p463748,0,0.0,0,0.0,579,0,,0,4414,,0,0,0.0,0.0,0.0,575,0.0,0,0.0,0.0,0,0.0,0.0,2024-08-14T08:31:46.556082Z,0,0,0,466,0,0,0.00,654,55,0,False,0,0,0,69,0.0,0.00,32,0.0,556,64
6,Jurriën Timber,56,DEF,Arsenal,73,2,10566,7,0.82,0.0,64,3.5,84,,1,0,,J.Timber,2023-07-14,172,5,0,,68.3,0.04,0.4,1.01,6511,0.75,27,0.05,21,53,a,-1,121,7,274,True,0.09,1755,1.03,0,p445122,0,2.2,1,187.0,95,0,,0,900789,152.0,0,0,4.3,100.0,100.0,133,0.8,0,2.2,13.0,0,0.36,2.7,2025-01-12T22:00:07.815228Z,1,20,0,173,1,0,15.51,103,10,0,False,1232269,16,0,30,276.2,1.76,9,221.9,127,35
7,Jorge Luiz Frello Filho,47,MID,Arsenal,13,0,236,1,0.99,0.0,180,1.3,346,,0,0,,Jorginho,2023-01-31,400,0,0,,10.4,0.01,0.0,0.47,415,0.04,174,0.09,179,269,a,3,423,3,82,True,0.1,456,1.18,0,p85955,0,0.0,-3,3.0,380,0,,0,46661,106.0,0,0,0.2,100.0,100.0,388,0.84,0,0.0,2.8,0,0.2,0.5,2025-01-12T22:00:07.826638Z,0,6,0,667,0,0,4.27,327,213,0,False,29264,5,0,111,35.8,0.51,222,64.7,287,189
8,Jakub Kiwior,48,DEF,Arsenal,13,0,183,1,1.39,0.0,133,1.6,385,,0,0,,Kiwior,2023-01-23,385,0,0,,6.3,0.0,0.0,0.03,264,0.00,137,0.01,107,248,a,2,717,0,39,True,0.01,323,0.56,0,p440854,0,0.0,-2,0.0,336,0,,0,35692,172.0,0,0,0.2,,,419,1.24,0,0.0,2.7,0,0.28,0.5,,0,2,0,686,0,0,4.45,318,40,0,False,25377,5,0,132,49.2,0.03,254,13.7,399,140
9,Gabriel Martinelli Silva,67,MID,Arsenal,89,1,15757,7,0.93,0.0,37,4.0,98,,5,0,,Martinelli,2019-07-15,103,6,0,Hamstring injury - 75% chance of playing,131.6,0.25,0.6,2.96,9067,4.04,48,0.18,29,28,d,3,24,1,283,True,0.43,1452,0.99,0,p444145,0,4.0,-3,570.0,57,0,,0,1101791,30.0,0,0,3.4,75.0,100.0,37,0.91,0,4.0,13.3,0,0.43,3.4,2025-02-06T00:00:08.092348Z,6,16,0,67,3,0,14.75,38,19,0,False,1116778,15,0,29,389.4,7.00,13,356.9,62,25
12,Ethan Nwaneri,45,MID,Arsenal,30,0,12540,0,0.32,0.0,130,2.1,235,,6,0,,Nwaneri,2022-09-17,293,1,0,,29.9,0.18,0.4,0.43,1288,0.56,158,0.14,115,88,a,0,230,1,110,True,0.32,281,0.96,0,p499175,0,1.8,0,80.0,262,0,,0,106234,241.0,0,0,0.7,100.0,100.0,293,0.65,0,1.8,6.7,0,0.0,2.3,2025-01-04T22:00:06.872110Z,3,3,0,206,0,0,2.04,426,265,0,False,153022,1,0,72,136.8,0.99,130,82.3,257,147
