id,name,now_cost,position,team,selected_by_percent,goals_scored,yellow_cards,saves_per_90,direct_freekicks_order,transfers_in,penalties_missed,chance_of_playing_next_round,cost_change_start_fall,cost_change_event_fall,points_per_game_rank_type,penalties_saved,influence,threat,expected_goal_involvements,starts_per_90,selected_rank,ep_next,dreamteam_count,creativity,can_select,cost_change_start,value_form,now_cost_rank,form_rank_type,expected_assists,cost_change_event,in_dreamteam,expected_goals_per_90,creativity_rank,red_cards,points_per_game_rank,chance_of_playing_this_round,starts,clean_sheets,selected_rank_type,expected_goals_conceded,expected_assists_per_90,bonus,threat_rank_type,threat_rank,form,transfers_out,ict_index,creativity_rank_type,clean_sheets_per_90,total_points,expected_goal_involvements_per_90,transfers_out_event,ict_index_rank,now_cost_rank_type,expected_goals,ict_index_rank_type,form_rank,influence_rank,ep_this,own_goals,region,value_season,saves,team_join_date,transfers_in_event,status,minutes,bps,event_points,points_per_game,penalties_order,news_added,goals_conceded_per_90,influence_rank_type,expected_goals_conceded_per_90,news,corners_and_indirect_freekicks_order,goals_conceded,web_name,assists
1,Fábio Ferreira Vieira,5.4,MID,Arsenal,0.0,0,0,0.0,,439,0,0.0,1,0,317,0,0.0,0.0,0.0,0.0,651,0.0,0,0.0,False,-1,0.0,131,310,0.0,0,False,0.0,706,0,708,0.0,0,0,283,0.0,0.0,0,315,705,0.0,2789,0.0,316,0.0,0,0.0,5,708,78,0.0,317,695,708,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-29T11:06:25.241953Z,0.0,317,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,,0,Fábio Vieira,0
2,Gabriel Fernando de Jesus,6.9,FWD,Arsenal,8.8,3,4,0.0,,1236146,0,100.0,1,0,25,0,154.4,255.0,3.57,0.9,40,6.6,2,119.5,True,-1,1.0,29,2,0.52,0,False,0.46,188,0,191,100.0,6,2,11,5.82,0.08,6,24,66,6.6,542562,52.6,24,0.3,42,0.54,118116,158,14,3.05,23,12,243,7.1,0,30.0,6.1,0,2022-07-04,53626,a,600,152,2,2.5,,2024-08-25T11:00:05.312580Z,0.75,23,0.87,,,5,G.Jesus,2
3,Gabriel dos Santos Magalhães,6.4,DEF,Arsenal,29.0,3,2,0.0,,3889198,0,100.0,-4,0,2,0,412.6,251.0,3.34,1.05,9,4.6,2,132.2,True,4,0.7,50,12,0.92,0,True,0.14,177,0,27,100.0,18,6,2,16.15,0.05,7,3,67,4.6,2284907,79.6,39,0.35,83,0.19,74609,84,3,2.42,12,43,43,5.1,0,30.0,13.0,0,2020-09-01,67023,a,1538,299,2,4.6,,2024-11-27T10:30:06.325759Z,0.94,14,0.95,,,16,Gabriel,2
4,Kai Havertz,7.8,FWD,Arsenal,8.4,7,3,0.0,,2421790,0,100.0,2,1,11,0,372.2,559.0,9.11,1.03,41,3.0,1,220.2,True,-2,0.4,13,18,1.34,-1,False,0.47,102,0,38,75.0,17,6,12,15.63,0.08,10,8,15,3.0,3065229,115.2,8,0.36,74,0.55,85238,23,5,7.77,6,107,64,2.6,0,80.0,9.5,0,2023-06-28,4694,a,1480,283,0,4.4,3.0,2025-01-02T08:00:08.350130Z,0.97,10,0.95,,,16,Havertz,2
5,Karl Hein,4.0,GKP,Arsenal,0.0,0,0,0.0,,0,0,0.0,0,0,61,0,0.0,0.0,0.0,0.0,573,0.0,0,0.0,False,0,0.0,640,55,0.0,0,False,0.0,510,0,536,0.0,0,0,69,0.0,0.0,0,29,475,0.0,4320,0.0,42,0.0,0,0.0,31,530,59,0.0,61,452,531,0.0,0,,0.0,0,,0,u,0,0,0,0.0,,2024-08-14T08:31:46.556082Z,0.0,61,0.0,Loaned to Real Valladolid,,0,Hein,0
6,Jurriën Timber,5.7,DEF,Arsenal,5.7,1,5,0.0,,1159954,0,100.0,-2,0,15,0,236.0,170.0,1.65,1.03,68,3.4,2,208.3,True,2,0.6,94,20,0.94,0,False,0.05,113,0,67,0.0,16,6,23,12.14,0.06,5,10,117,3.4,676704,61.2,23,0.39,64,0.11,48417,128,9,0.71,29,76,169,0.0,0,152.0,11.2,0,2023-07-14,13683,a,1395,235,0,3.8,,2025-01-02T07:30:07.976090Z,0.77,64,0.78,,,12,J.Timber,1
7,Jorge Luiz Frello Filho,4.7,MID,Arsenal,0.2,0,3,0.0,,27245,0,,3,0,168,0,35.8,3.0,0.51,1.18,331,0.8,0,64.7,True,-3,0.2,326,142,0.47,0,False,0.01,264,0,360,,6,1,104,4.27,0.09,0,217,407,0.8,43542,10.4,165,0.2,13,0.1,711,367,210,0.04,180,288,389,1.3,0,106.0,2.8,0,2023-01-31,851,a,456,82,2,1.3,,,0.99,179,0.84,,,5,Jorginho,0
8,Jakub Kiwior,4.8,DEF,Arsenal,0.2,0,0,0.0,,24309,0,,2,0,113,0,49.2,0.0,0.03,0.56,366,0.0,0,13.7,True,-2,0.0,314,239,0.03,0,False,0.0,380,0,328,,2,1,129,4.45,0.01,0,242,666,0.0,33043,6.3,131,0.28,13,0.01,903,399,38,0.0,133,643,369,0.5,0,172.0,2.7,0,2023-01-23,254,a,323,39,0,1.6,,,1.39,128,1.24,,,5,Kiwior,0
9,Gabriel Martinelli Silva,6.8,MID,Arsenal,4.8,5,1,0.0,,1032214,0,100.0,2,0,21,0,324.0,446.0,6.05,1.0,82,4.6,1,304.6,True,-2,0.7,35,20,2.69,0,False,0.26,62,0,51,100.0,13,6,27,11.88,0.21,6,15,29,4.6,863251,107.4,48,0.46,73,0.47,55589,40,17,3.36,27,44,98,5.1,0,30.0,10.7,0,2019-07-15,19187,a,1166,236,1,4.1,,2024-10-18T16:00:06.884775Z,0.93,32,0.92,,,12,Martinelli,2
12,Ethan Nwaneri,4.5,MID,Arsenal,0.6,2,1,0.0,,114054,0,0.0,0,0,120,0,97.0,69.0,0.71,0.78,252,0.0,0,66.8,True,0,0.4,422,74,0.41,0,False,0.12,259,0,274,,2,0,78,1.59,0.16,1,132,234,2.0,80281,23.3,161,0.0,23,0.28,10967,300,259,0.3,152,165,312,2.5,0,241.0,5.1,0,2022-09-17,16136,i,230,84,6,1.9,,2025-01-04T22:00:06.872110Z,0.39,143,0.62,Muscle injury - Unknown return date,,1,Nwaneri,0
13,Martin Ødegaard,8.4,MID,Arsenal,6.1,1,1,0.0,1.0,827144,0,100.0,1,0,46,0,203.8,222.0,5.13,1.06,64,2.2,0,400.9,True,-1,0.3,10,73,2.57,0,False,0.23,37,0,97,100.0,12,6,18,7.96,0.23,3,51,80,2.2,1774497,82.9,29,0.53,44,0.46,74032,76,7,2.56,47,158,200,2.7,0,161.0,5.2,0,2021-08-20,7629,a,1018,205,1,3.4,2.0,2024-09-10T00:30:06.311550Z,0.62,83,0.7,,3.0,7,Ødegaard,2
