name,position,team,total_points,appearance_points,goal_points,assist_points,clean_sheet_points,save_points,penalty_save_points,bonus_points,yellow_card_points,red_card_points,own_goal_points,penalty_miss_points,goals_conceded_points
Mohamed Salah,MID,Liverpool,238,46,105,39,10,0,0,39,-1,0,0,0,0
Cole Palmer,MID,Chelsea,173,48,70,24,4,0,0,31,-4,0,0,0,0
Chris Wood,FWD,Nott'm Forest,154,46,68,6,0,0,0,34,-1,0,0,0,0
Alexander Isak,FWD,Newcastle,152,44,68,15,0,0,0,28,-1,0,0,0,0
Bryan Mbeumo,MID,Brentford,149,48,70,9,4,0,0,20,-2,0,0,0,0
Erling Haaland,FWD,Man City,149,48,76,6,0,0,0,23,-2,0,0,-2,0
Justin Kluivert,MID,Bournemouth,123,38,55,12,10,0,0,11,-6,0,0,0,0
Matheus Santos Carneiro Da Cunha,FWD,Wolves,123,42,44,12,0,0,0,27,-3,0,0,0,0
Ollie Watkins,FWD,Aston Villa,116,40,40,15,0,0,0,18,0,0,0,0,0
Nicolas Jackson,FWD,Chelsea,108,44,36,18,0,0,0,15,-5,0,0,0,0
Ola Aina,DEF,Nott'm Forest,108,48,12,3,40,0,0,15,-2,0,0,0,-8
Bukayo Saka,MID,Arsenal,107,32,25,33,6,0,0,16,-3,0,0,0,0
Alex Iwobi,MID,Fulham,107,48,35,9,5,0,0,12,-1,0,0,0,0
Trent Alexander-Arnold,DEF,Liverpool,107,42,6,18,36,0,0,13,-4,0,0,0,-4
Amad Diallo,MID,Man Utd,107,34,30,21,6,0,0,14,-3,0,0,0,0
Anthony Gordon,MID,Newcastle,107,44,30,18,9,0,0,9,-2,0,0,-2,0
Matz Sels,GKP,Nott'm Forest,107,48,0,3,40,25,0,9,-2,0,0,0,-16
Luis Díaz,MID,Liverpool,106,34,40,9,11,0,0,10,-2,0,0,0,0
Jordan Pickford,GKP,Everton,104,46,0,3,36,22,10,10,-6,0,0,0,-17
Bruno Borges Fernandes,MID,Man Utd,104,46,25,21,7,0,0,15,-2,-6,0,0,0
Son Heung-min,MID,Spurs,104,38,30,24,3,0,0,12,-1,0,0,-2,0
Yoane Wissa,FWD,Brentford,103,40,40,9,0,0,0,16,-2,0,0,0,0
Jean-Philippe Mateta,FWD,Crystal Palace,103,44,40,3,0,0,0,19,-2,0,0,0,0
Antoine Semenyo,MID,Bournemouth,102,46,35,12,7,0,0,7,-5,0,0,0,0
James Maddison,MID,Spurs,102,30,40,15,4,0,0,12,-4,0,0,0,0
Raúl Jiménez,FWD,Fulham,100,38,36,6,0,0,0,18,-3,0,0,0,0
Jarrod Bowen,MID,West Ham,100,40,30,18,4,0,0,10,-1,0,0,0,0
Noni Madueke,MID,Chelsea,99,36,35,12,3,0,0,12,-3,0,0,0,0
Morgan Rogers,MID,Aston Villa,97,46,30,15,4,0,0,11,-8,0,0,0,0
Dejan Kulusevski,MID,Spurs,97,44,30,12,5,0,0,7,-3,0,0,0,0
Kai Havertz,FWD,Arsenal,96,42,36,9,0,0,0,14,-4,0,0,0,0
Mitoma Kaoru,MID,Brighton,95,42,25,12,4,0,0,10,0,0,0,0,0
Morgan Gibbs-White,MID,Nott'm Forest,95,40,25,18,9,0,0,12,-5,-3,0,0,0
Gabriel dos Santos Magalhães,DEF,Arsenal,94,44,18,6,28,0,0,8,-3,0,0,0,-7
David Raya Martin,GKP,Arsenal,93,48,0,0,32,19,0,8,-2,0,0,0,-12
Liam Delap,FWD,Ipswich,93,44,36,6,0,0,0,15,-8,0,0,0,0
Cody Gakpo,FWD,Liverpool,92,30,32,12,0,0,0,15,-4,0,0,0,0
Lewis Hall,DEF,Newcastle,92,42,0,15,32,0,0,9,-3,0,0,0,-3
Anthony Elanga,MID,Nott'm Forest,92,36,15,24,8,0,0,7,-1,0,0,0,0
Nikola Milenković,DEF,Nott'm Forest,92,46,12,3,40,0,0,1,-2,0,0,0,-8
Milos Kerkez,DEF,Bournemouth,90,48,12,9,24,0,0,8,-3,0,0,0,-8
Mikkel Damsgaard,MID,Brentford,90,42,10,21,6,0,0,9,-1,0,0,0,0
Jamie Vardy,FWD,Leicester,90,44,28,12,0,0,0,13,-4,0,0,0,0
Virgil van Dijk,DEF,Liverpool,90,46,6,3,40,0,0,3,-2,0,0,0,-6
Gabriel Martinelli Silva,MID,Arsenal,89,32,30,9,7,0,0,6,-1,0,0,0,0
Phil Foden,MID,Man City,89,30,35,9,3,0,0,10,-2,0,0,0,0
Joško Gvardiol,DEF,Man City,89,44,30,0,20,0,0,7,-1,0,0,0,-11
Brennan Johnson,MID,Spurs,89,32,35,12,2,0,0,7,-3,0,0,0,0
Daniel Muñoz,DEF,Crystal Palace,88,46,12,12,28,0,0,5,-5,0,0,0,-10
Antonee Robinson,DEF,Fulham,88,48,0,30,16,0,0,7,-5,0,0,0,-8
Jacob Murphy,MID,Newcastle,88,34,20,24,6,0,0,5,-2,0,0,0,0
William Saliba,DEF,Arsenal,87,44,12,0,32,0,0,9,-2,-3,0,0,-5
Bruno Guimarães Rodriguez Moura,MID,Newcastle,87,48,10,18,8,0,0,6,-3,0,0,0,0
Dango Ouattara,MID,Bournemouth,86,24,30,12,5,0,0,7,-1,0,0,0,0
Dean Henderson,GKP,Crystal Palace,86,48,0,0,28,22,5,4,-3,0,0,0,-18
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,86,46,6,0,36,0,0,11,-5,0,0,0,-8
Leandro Trossard,MID,Arsenal,85,32,20,15,6,0,0,10,-1,-3,0,0,0
Kevin Schade,MID,Brentford,85,24,30,12,4,0,0,6,-2,0,0,0,0
Marc Guéhi,DEF,Crystal Palace,85,46,18,3,28,0,0,10,-5,0,-4,0,-11
Jørgen Strand Larsen,FWD,Wolves,84,44,28,6,0,0,0,8,-2,0,0,0,0
André Onana,GKP,Man Utd,83,48,0,0,28,19,5,5,0,0,0,0,-22
