name,position,team,expected_goals,goals_scored,finishing,finishing_evaluation
Mohamed Salah,MID,Liverpool,17.56,21,3.44,Overperforming
Erling Haaland,FWD,Man City,18.13,19,0.87,Overperforming
Chris Wood,FWD,Nott'm Forest,10.17,17,6.83,Overperforming
Alexander Isak,FWD,Newcastle,14.08,17,2.92,Overperforming
Bryan Mbeumo,MID,Brentford,8.14,14,5.86,Overperforming
Cole Palmer,MID,Chelsea,11.81,14,2.19,Overperforming
Matheus Santos Carneiro Da Cunha,FWD,Wolves,5.29,11,5.71,Overperforming
Justin Kluivert,MID,Bournemouth,8.74,11,2.26,Overperforming
Jean-Philippe Mateta,FWD,Crystal Palace,9.9,10,0.1,Overperforming
Yoane Wissa,FWD,Brentford,11.09,10,-1.09,Underperforming
Ollie Watkins,FWD,Aston Villa,11.24,10,-1.24,Underperforming
Liam Delap,FWD,Ipswich,7.29,9,1.71,Overperforming
Raúl Jiménez,FWD,Fulham,8.63,9,0.37,Overperforming
Kai Havertz,FWD,Arsenal,9.39,9,-0.39,Underperforming
Nicolas Jackson,FWD,Chelsea,10.72,9,-1.72,Underperforming
James Maddison,MID,Spurs,4.66,8,3.34,Overperforming
Cody Gakpo,FWD,Liverpool,5.4,8,2.6,Overperforming
Luis Díaz,MID,Liverpool,6.66,8,1.34,Overperforming
Alex Iwobi,MID,Fulham,2.96,7,4.04,Overperforming
Phil Foden,MID,Man City,4.58,7,2.42,Overperforming
Jhon Durán,FWD,Aston Villa,5.11,7,1.89,Overperforming
Jørgen Strand Larsen,FWD,Wolves,6.14,7,0.86,Overperforming
Antoine Semenyo,MID,Bournemouth,7.02,7,-0.02,Underperforming
Noni Madueke,MID,Chelsea,7.53,7,-0.53,Underperforming
Jamie Vardy,FWD,Leicester,8.41,7,-1.41,Underperforming
Brennan Johnson,MID,Spurs,8.41,7,-1.41,Underperforming
Dominic Solanke-Mitchell,FWD,Spurs,8.43,7,-1.43,Underperforming
Dejan Kulusevski,MID,Spurs,3.54,6,2.46,Overperforming
Iliman Ndiaye,FWD,Everton,3.58,6,2.42,Overperforming
Morgan Rogers,MID,Aston Villa,3.67,6,2.33,Overperforming
Gabriel Martinelli Silva,MID,Arsenal,4.04,6,1.96,Overperforming
Amad Diallo,MID,Man Utd,4.12,6,1.88,Overperforming
Kevin Schade,MID,Brentford,4.63,6,1.37,Overperforming
Jarrod Bowen,MID,West Ham,5.0,6,1.0,Overperforming
Son Heung-min,MID,Spurs,5.2,6,0.8,Overperforming
Dango Ouattara,MID,Bournemouth,5.87,6,0.13,Overperforming
Danny Welbeck,FWD,Brighton,6.05,6,-0.05,Underperforming
Anthony Gordon,MID,Newcastle,7.52,6,-1.52,Underperforming
Harvey Barnes,MID,Newcastle,2.41,5,2.59,Overperforming
Harry Wilson,MID,Fulham,3.29,5,1.71,Overperforming
Morgan Gibbs-White,MID,Nott'm Forest,3.39,5,1.61,Overperforming
Tomáš Souček,MID,West Ham,3.77,5,1.23,Overperforming
