name,position,now_cost,now_cost_rank_type
Trent Alexander-Arnold,DEF,7.2,1
Virgil van Dijk,DEF,6.4,2
Gabriel dos Santos Magalhães,DEF,6.4,3
William Saliba,DEF,6.3,4
Benjamin White,DEF,6.1,5
Erling Haaland,FWD,14.8,1
Alexander Isak,FWD,9.3,2
Ollie Watkins,FWD,8.9,3
Nicolas Jackson,FWD,8.1,4
Kai Havertz,FWD,7.8,5
David Raya Martin,GKP,5.6,1
Alisson Ramses Becker,GKP,5.4,2
Ederson Santana de Moraes,GKP,5.3,3
Stefan Ortega Moreno,GKP,5.2,4
André Onana,GKP,5.1,5
Mohamed Salah,MID,13.7,1
Cole Palmer,MID,11.4,2
Bukayo Saka,MID,10.2,3
Son Heung-min,MID,9.8,4
Kevin De Bruyne,MID,9.4,5
