name,team,total_points,team_total_points,percentage_of_team_points
Mohamed Salah,Liverpool,238,1338,17.79
Chris Wood,Nott'm Forest,154,1192,12.92
Alexander Isak,Newcastle,152,1134,13.4
Justin Kluivert,Bournemouth,123,1108,11.1
Cole Palmer,Chelsea,173,1100,15.73
Erling Haaland,Man City,149,1073,13.89
Alex Iwobi,Fulham,107,1008,10.62
Ollie Watkins,Aston Villa,116,978,11.86
Bryan Mbeumo,Brentford,149,975,15.28
Yoane Wissa,Brentford,103,975,10.56
Jordan Pickford,Everton,104,954,10.9
Jean-Philippe Mateta,Crystal Palace,103,942,10.93
Mitoma Kaoru,Brighton,95,926,10.26
Matheus Santos Carneiro Da Cunha,Wolves,123,899,13.68
Jarrod Bowen,West Ham,100,889,11.25
Amad Diallo,Man Utd,107,887,12.06
Bruno Borges Fernandes,Man Utd,104,887,11.72
Liam Delap,Ipswich,93,743,12.52
Jamie Vardy,Leicester,90,734,12.26
