AwayTeam,AwayGames,goals_scored_away,shots_away,shots_on_target_away
Chelsea,9,23,131,54
Liverpool,8,22,131,50
Arsenal,9,17,92,33
Tottenham,9,16,135,53
Bournemouth,9,16,136,44
Wolves,9,15,104,39
Newcastle,9,15,117,37
Brighton,9,14,117,44
Nott'm Forest,9,13,108,40
Man City,9,13,137,48
Fulham,9,12,115,38
Leicester,9,11,83,31
Crystal Palace,9,11,128,46
Aston Villa,9,11,92,26
West Ham,9,10,141,36
Ipswich,8,10,65,26
Man United,9,8,111,42
Everton,9,6,95,30
Brentford,8,6,62,24
Southampton,9,4,87,20
