AwayTeam,AwayGames,goals_conceded_away,shots_conceded_away,shots_on_target_conceded_away
Tottenham,9,9,115,37
Arsenal,9,10,127,43
Chelsea,9,10,94,41
Fulham,9,10,115,42
Man United,9,10,94,36
Crystal Palace,9,11,122,42
Liverpool,8,11,74,32
Nott'm Forest,9,12,126,42
Man City,9,13,97,37
Newcastle,9,13,121,46
West Ham,9,13,157,45
Bournemouth,9,14,138,60
Brighton,9,14,118,43
Everton,9,14,123,42
Southampton,9,15,152,47
Brentford,8,16,182,71
Ipswich,8,16,134,52
Aston Villa,9,19,134,48
Wolves,9,20,132,49
Leicester,9,25,174,62
